Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold All,-0.0164742,0.01498895,0.983660758,0.955182801,1.012988,-0.02126987,0.08420984,0.997875273,0.981540389,1.014482,0.0023986,0.002211366,1.031178249,0.975527752,1.090003,0.001310401,0.001698472,1.008553985,0.986964777,1.030615
Cold Female,-0.03152393,0.01974934,0.968967769,0.932176936,1.007211,-0.061284,0.1104271,0.99389034,0.972609988,1.015636,0.001236834,0.002909357,1.015957457,0.944444388,1.092885,-0.001314739,0.002249622,0.991490608,0.96347765,1.020318
Cold Male,-0.000302831,0.021550003,0.999697215,0.958351329,1.042827,0.02250217,0.12171314,1.002252751,0.97862617,1.026450,0.0036405,0.003188336,1.047701168,0.967160738,1.134949,0.004096965,0.002425392,1.026988027,0.995739879,1.059217
Age 0-10 All,-0.005890465,0.026643363,0.99412685,0.943544777,1.047421,0.07414195,0.18275712,1.007441748,0.971993462,1.044183,-0.001728274,0.003640718,0.978120988,0.892739691,1.071668,0.00193826,0.003299999,1.012678388,0.970985934,1.056161
Age 0-10 Female,-0.03942153,0.03717178,0.961345388,0.893795552,1.034000,0.01981636,0.25004387,1.001983601,0.954061673,1.052313,-0.001281475,0.005016029,0.983730915,0.867408702,1.115652,-0.002638683,0.004644389,0.982994809,0.926518788,1.042913
Age 0-10 Male,0.01968691,0.03337398,1.019881975,0.955303593,1.088826,0.1188698,0.2325288,1.011957911,0.966872479,1.059146,-0.001918869,0.004609436,0.975737657,0.869181727,1.095357,0.005340424,0.004105771,1.035322276,0.982559118,1.090919
Age 11-60 All,0.000678538,0.019702738,1.000678769,0.962771834,1.040078,-0.08067418,0.14229919,0.991965036,0.964680752,1.020021,0.002273969,0.002652179,1.029534546,0.963260819,1.100368,0.000797715,0.002452422,1.005198612,0.974277894,1.037101
Age 11-60 Female,0.01153709,0.02556267,1.011603899,0.962168447,1.063579,-0.04711489,0.18579217,0.995299593,0.959707475,1.032212,0.002574607,0.003489256,1.033503999,0.946879455,1.128053,0.002159166,0.003163647,1.014133526,0.974071778,1.055843
Age 11-60 Male,-0.01307351,0.02902665,0.987011577,0.932425761,1.044793,-0.1305787,0.2080612,0.987027014,0.947585731,1.028110,0.002078875,0.003842803,1.026966797,0.932581584,1.130905,-0.001156109,0.003643279,0.992513456,0.94749835,1.039667
Age 60+All,-0.005792001,0.03118874,0.99422474,0.935268214,1.056898,0.003870092,0.230855628,1.000387084,0.956130667,1.046692,-0.007085832,0.004318222,0.913292891,0.819521863,1.017793,0.001924518,0.003836803,1.012587936,0.964281993,1.063314
Age 60+ Female,-0.01696001,0.04267131,0.983183001,0.904298497,1.068949,-0.03579155,0.31010773,0.996427243,0.937667125,1.058870,-0.011726276,0.005867642,0.860625066,0.742818358,0.997115,-0.001120386,0.005323134,0.992743944,0.927651425,1.062404
Age 60+ Male,0.007873996,0.045243158,1.007905077,0.922375756,1.101365,0.05003294,0.34226856,1.005015831,0.939806436,1.074750,-0.001781868,0.006320971,0.977450224,0.834111301,1.145421,0.00530936,0.005487673,1.035113249,0.965217211,1.110071
All: LAG2,0.01499742,0.0151354,1.015110446,0.985439087,1.045675,0.007503917,0.108572375,1.000750673,0.979679508,1.022275,1.72724E-05,0.002004962,1.000221111,0.9511539,1.051820,0.001559295,0.001886309,1.010186955,0.986199947,1.034757
Female,0.01601038,0.01972933,1.016139233,0.977595683,1.056202,0.02524116,0.14164682,1.002527304,0.975077172,1.030750,0.001114919,0.002607715,1.01437328,0.950134818,1.082955,0.002445174,0.002451003,1.016020607,0.984784792,1.048247
Male,0.01426245,0.02147741,1.014364644,0.972550503,1.057977,-0.007126964,0.153870303,0.999287558,0.969600376,1.029884,-0.001136902,0.002849907,0.985553028,0.917547607,1.058599,0.000626893,0.002685352,1.004083115,0.970312991,1.039029
Warm All,0.007031867,0.014788079,1.007056649,0.978286441,1.036673,-0.1743527,0.1440405,0.982715845,0.955359845,1.010855,0.002279054,0.001920996,1.029601559,0.981157721,1.080437,0.000904763,0.002041327,1.005898287,0.980075626,1.032401
