Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold All,-0.011241185,0.008029757,0.988821761,0.973381187,1.004507,-0.01506516,0.05785113,0.998494618,0.987236812,1.009881,0.004263125,0.000937572,1.056084288,1.031533153,1.081220,-0.000571716,0.00088816,0.996290742,0.985081094,1.007628
Cold Female,-0.016504406,0.009142231,0.983631046,0.966162559,1.001415,-0.02276757,0.06604582,0.997725833,0.984893527,1.010725,0.00446969,0.001065914,1.058880303,1.030939355,1.087579,-0.001231095,0.00101234,0.992029814,0.979317548,1.004907
Cold Male,-0.005474684,0.009487953,0.994540275,0.976216326,1.013208,-0.006658009,0.06813461,0.999334421,0.986077641,1.012769,0.004033619,0.001113832,1.052986406,1.023969259,1.082826,0.000144397,0.001047703,1.000939021,0.98766752,1.014389
Age 0-10 All,0.010687767,0.007767153,1.010745085,0.995474419,1.026250,0.0545245,0.06650798,1.005467342,0.992445565,1.018660,0.003091279,0.000893091,1.040361627,1.017310626,1.063935,0.001433255,0.000966933,1.009359688,0.997001934,1.021871
Age 0-10 Female,0.01314158,0.01036549,1.01322831,0.992850897,1.034024,0.03877592,0.08852339,1.00388512,0.986617362,1.021455,0.003660419,0.001194292,1.047968327,1.017034424,1.079843,0.001556743,0.001291579,1.010170198,0.993684142,1.026930
Age 0-10 Male,0.008724117,0.009436266,1.008762283,0.990276616,1.027593,0.06763094,0.08097306,1.006786015,0.990933723,1.022892,0.002630798,0.001084758,1.034247609,1.006480715,1.062781,0.001335278,0.001173878,1.008717081,0.993743754,1.023916
Age 11-60 All,0.002582816,0.005526212,1.002586154,0.991785367,1.013505,0.06289704,0.04901536,1.006309526,0.99668819,1.016024,0.001755003,0.00062788,1.022718255,1.006734359,1.038956,0.000342338,0.000694016,1.002227675,0.993405274,1.011128
Age 11-60 Female,-0.00281023,0.006834316,0.997193715,0.983925113,1.010641,0.0653035,0.06061093,1.006551719,0.99466489,1.018581,0.002191677,0.000775041,1.02845067,1.008646403,1.048644,-0.000261191,0.000858539,0.998303699,0.987443965,1.009283
Age 11-60 Male,0.008772587,0.0072079,1.008811179,0.994659415,1.023164,0.0599443,0.0639665,1.006012433,0.993478355,1.018705,0.001241918,0.000821691,1.016023573,0.995293079,1.037186,0.00103902,0.000904982,1.006776487,0.995235546,1.018451
Age 60+All,0.005925107,0.00847388,1.005942695,0.98937317,1.022790,-0.005185059,0.076302478,0.999481629,0.984645312,1.014541,0.001849592,0.000954386,1.02395725,0.999731178,1.048770,0.00077269,0.001071498,1.005035119,0.991408718,1.018849
Age 60+ Female,-0.00615537,0.01095473,0.993863535,0.972751485,1.015434,-0.04318717,0.09831684,0.995690595,0.976687224,1.015064,0.002355203,0.001227186,1.030605608,0.999359161,1.062829,-0.000967519,0.001390988,0.99373086,0.976275888,1.011498
Age 60+ Male,0.02259519,0.0125285,1.022852395,0.998041251,1.048280,0.0482172,0.113376,1.004833363,0.982750529,1.027412,0.001133,0.001423398,1.01460807,0.979015495,1.051495,0.003148962,0.001575325,1.020679164,1.000398692,1.041371
All: LAG2,0.008499849,0.004759604,1.008536075,0.999171369,1.017989,0.09117236,0.04148936,1.009158925,1.000985807,1.017399,0.001090464,0.000541482,1.014055806,1.000373308,1.027925,0.001168198,0.00059634,1.007622189,0.999995915,1.015307
Female,0.003924141,0.005600949,1.003931851,0.9929711,1.015014,0.06754484,0.04889589,1.006777347,0.997174888,1.016472,0.001328528,0.000635394,1.017150569,1.00106496,1.033495,0.000837468,0.000701752,1.005458385,0.996509328,1.014488
Male,0.0134291,0.00586683,1.013519675,1.001931977,1.025241,0.11664375,0.05107834,1.011732669,1.001654387,1.021912,0.000828429,0.000669837,1.010660312,0.993818207,1.027788,0.001525478,0.000735256,1.00996493,1.000548596,1.019470
Warm All,0.009604026,0.005381541,1.009650293,0.999056651,1.020356,0.13622584,0.06150657,1.013715794,1.001568525,1.026010,-0.00057894,0.000602995,0.992616958,0.977713721,1.007747,0.000992588,0.000780641,1.00647268,0.996512551,1.016532
Warm Female,0.0073245,0.006716425,1.00735139,0.994177325,1.020700,0.17595704,0.0766707,1.01775142,1.002571548,1.033161,-0.000428546,0.000749975,0.994529628,0.975992125,1.013419,0.001121304,0.000975928,1.007315102,0.994868365,1.019918
Warm Male,0.012084587,0.007132125,1.012157901,0.998107415,1.026406,0.09457298,0.08163726,1.00950216,0.993477758,1.025785,-0.000742039,0.000801907,0.990546865,0.970817924,1.010677,0.000865375,0.001032515,1.005640787,0.992498971,1.018957
Cold All,0.004945918,0.008102365,1.004958169,0.989124849,1.021045,0.06104777,0.05780109,1.006123449,0.994789386,1.017587,0.003312125,0.000937159,1.043306712,1.019063181,1.068127,0.001018405,0.000892994,1.006641591,0.995254186,1.018159
Cold Female,-0.001176597,0.009225439,0.998824095,0.980925802,1.017049,0.01634048,0.06613463,1.001635384,0.988735585,1.014703,0.003422277,0.001065308,1.044778755,1.017225373,1.073078,0.000501436,0.001016669,1.003264651,0.990353797,1.016344
Cold Male,0.0116139,0.00956446,1.011681603,0.992892934,1.030826,0.1087621,0.06788509,1.010935571,0.997573681,1.024476,0.003191541,0.001111563,1.041697636,1.01304924,1.071156,0.001581943,0.001054559,1.010335677,0.996852512,1.024001
Age 0-10 All,0.017727468,0.007801707,1.017885532,1.002439092,1.033570,0.13347696,0.06619353,1.013437174,1.000373834,1.026671,0.000893182,0.000899847,1.011498333,0.988919217,1.034593,0.002244191,0.000969935,1.014694155,1.002232759,1.027310
Age 0-10 Female,0.01817238,0.01039603,1.018338502,0.997798588,1.039301,0.1563494,0.08784679,1.015757805,0.998418221,1.033399,0.00031724,0.001201264,1.004068928,0.97426042,1.034789,0.002585047,0.001291625,1.016944767,1.000347563,1.033817
Age 0-10 Male,0.017433168,0.009484127,1.017586013,0.998844947,1.036679,0.11466197,0.08073092,1.011532186,0.995652415,1.027665,0.001370734,0.001091741,1.01770022,0.990204093,1.045960,0.001969421,0.001179751,1.012883523,0.997773691,1.028222
Age 11-60 All,0.008258215,0.005535854,1.008292408,0.997411298,1.019292,0.09444137,0.04862472,1.009488874,0.999913696,1.019156,0.00128887,0.000628551,1.016634372,1.000728714,1.032793,0.001258949,0.000693982,1.008216742,0.999342054,1.017170
